image_id,assigned_rule_id,primary_class,verdict,is_multi_rule_violation,quality_of_info,top_region_source,worker_lost_in_top1_mask
0000632,rule_3,compliant,explanation_weak,False,rich info,model,False
0000641,rule_1,ppe_violation,explanation_supported,False,poor info,model,False
0000642,rule_2,compliant,explanation_supported,False,rich info,model,True
0000745,rule_3,compliant,explanation_supported,False,poor info,model,True
0000755,rule_1,compliant,explanation_weak,False,poor info,model,False
0000760,rule_1,compliant,explanation_weak,False,poor info,model,False
0000766,rule_1,ppe_violation,explanation_weak,False,poor info,model,False
0000798,rule_3,compliant,explanation_supported,False,rich info,model,False
0000804,rule_1,compliant,explanation_weak,False,poor info,model,False
0000874,rule_2,fall_hazard,explanation_weak,False,poor info,model,True
0000878,rule_4,struck_by_risk,explanation_weak,False,poor info,model,False
0000879,rule_1,compliant,explanation_weak,False,poor info,model,False
0000886,rule_2,compliant,explanation_weak,False,rich info,model,False
0000888,rule_4,compliant,explanation_weak,False,rich info,model,False
0000889,rule_4,compliant,explanation_weak,False,poor info,model,False
0000895,rule_3,fall_hazard,explanation_supported,False,poor info,model,False
0000904,rule_2,compliant,explanation_supported,False,rich info,model,False
0000905,rule_3,compliant,explanation_weak,False,rich info,model,False
0000923,rule_2,compliant,explanation_supported,False,poor info,model,False
0000925,rule_2,fall_hazard,explanation_supported,False,rich info,model,False
0000936,rule_4,compliant,explanation_weak,False,rich info,model,False
0000940,rule_3,compliant,explanation_supported,False,rich info,model,False
0000959,rule_2,compliant,explanation_supported,False,poor info,model,False
0000991,rule_3,fall_hazard,explanation_supported,False,poor info,model,False
0000993,rule_2,fall_hazard,explanation_weak,False,rich info,model,False
0001014,rule_3,compliant,explanation_weak,False,poor info,model,False
0001033,rule_4,struck_by_risk,explanation_supported,False,poor info,model,False
0001071,rule_3,fall_hazard,explanation_supported,False,rich info,model,False
0001077,rule_1,ppe_violation,explanation_weak,False,rich info,model,False
0001081,rule_3,fall_hazard,explanation_supported,False,rich info,model,False
0001117,rule_1,ppe_violation,explanation_weak,False,poor info,model,False
0001151,rule_1,ppe_violation,explanation_weak,False,poor info,model,True
0001194,rule_3,fall_hazard,explanation_supported,False,poor info,model,False
0001229,rule_3,fall_hazard,no_usable_explanation,False,poor info,grid,
0001274,rule_3,fall_hazard,explanation_weak,False,poor info,model,False
0001325,rule_4,struck_by_risk,explanation_supported,False,poor info,model,False
0001431,rule_1,ppe_violation,explanation_supported,False,poor info,model,False
0001436,rule_3,fall_hazard,explanation_supported,False,poor info,model,False
0001460,rule_1,ppe_violation,explanation_supported,False,rich info,model,False
0001470,rule_1,ppe_violation,explanation_weak,False,rich info,model,False
0001484,rule_3,fall_hazard,explanation_weak,False,poor info,model,False
0001512,rule_4,struck_by_risk,explanation_weak,False,poor info,model,False
0001520,rule_3,fall_hazard,explanation_weak,False,rich info,model,False
0001530,rule_2,fall_hazard,explanation_supported,False,rich info,model,False
0001597,rule_3,fall_hazard,explanation_supported,False,poor info,model,False
0001623,rule_3,fall_hazard,explanation_weak,False,rich info,model,False
0001667,rule_3,fall_hazard,explanation_supported,False,poor info,model,False
0001699,rule_2,fall_hazard,explanation_supported,False,poor info,model,False
0001798,rule_3,fall_hazard,explanation_weak,False,poor info,model,False
0001804,rule_1,ppe_violation,explanation_weak,False,poor info,model,True
0001842,rule_1,ppe_violation,explanation_weak,False,rich info,model,False
0001981,rule_3,fall_hazard,explanation_supported,False,rich info,model,False
0001982,rule_1,ppe_violation,explanation_supported,True,poor info,model,False
0001986,rule_1,ppe_violation,explanation_supported,True,poor info,model,False
0001989,rule_3,fall_hazard,explanation_supported,False,poor info,model,False
0002042,rule_4,struck_by_risk,explanation_supported,False,poor info,model,False
0002092,rule_2,fall_hazard,explanation_weak,False,rich info,model,False
0002150,rule_3,fall_hazard,explanation_supported,False,rich info,model,False
0002153,rule_1,ppe_violation,explanation_weak,False,poor info,model,False
0002158,rule_2,fall_hazard,explanation_supported,False,poor info,model,False
0002178,rule_3,fall_hazard,explanation_supported,False,rich info,model,False
0002211,rule_1,ppe_violation,explanation_weak,False,rich info,model,False
0002260,rule_1,ppe_violation,explanation_supported,False,rich info,model,False
0002262,rule_1,ppe_violation,explanation_weak,True,poor info,model,False
0002291,rule_1,ppe_violation,explanation_weak,False,rich info,model,False
0002348,rule_1,ppe_violation,explanation_weak,False,poor info,model,False
0002446,rule_4,struck_by_risk,explanation_supported,False,poor info,model,False
0002480,rule_1,ppe_violation,explanation_weak,False,poor info,model,False
0002525,rule_1,ppe_violation,explanation_supported,False,poor info,model,False
0002534,rule_3,fall_hazard,explanation_supported,False,rich info,model,False
0002595,rule_3,fall_hazard,explanation_supported,False,poor info,model,False
0002599,rule_1,ppe_violation,explanation_weak,False,poor info,model,False
0002668,rule_1,ppe_violation,explanation_weak,False,poor info,model,False
0002815,rule_2,fall_hazard,explanation_supported,False,poor info,model,True
0002925,rule_3,fall_hazard,explanation_supported,False,rich info,model,False
0002957,rule_1,ppe_violation,explanation_weak,False,poor info,model,False
0003067,rule_1,ppe_violation,explanation_supported,False,poor info,model,False
0003071,rule_1,ppe_violation,explanation_supported,False,poor info,model,False
0003088,rule_4,struck_by_risk,explanation_supported,False,poor info,model,False
0003164,rule_1,ppe_violation,explanation_weak,False,rich info,model,False
0003206,rule_1,ppe_violation,explanation_weak,False,rich info,model,False
0003302,rule_1,ppe_violation,explanation_supported,False,rich info,model,False
0003339,rule_1,ppe_violation,explanation_supported,False,rich info,model,False
0003429,rule_1,ppe_violation,explanation_supported,False,rich info,model,False
0003479,rule_2,fall_hazard,explanation_weak,False,poor info,model,False
0003516,rule_1,ppe_violation,explanation_supported,False,rich info,model,False
0003613,rule_3,fall_hazard,explanation_supported,False,rich info,model,False
0003632,rule_2,fall_hazard,explanation_weak,False,rich info,model,True
0003813,rule_4,struck_by_risk,explanation_supported,False,rich info,model,False
0003922,rule_1,ppe_violation,explanation_weak,False,rich info,model,False
0003928,rule_1,ppe_violation,explanation_supported,True,rich info,model,False
0003943,rule_1,ppe_violation,explanation_weak,False,poor info,model,False
0004032,rule_3,fall_hazard,explanation_supported,False,rich info,model,False
0004171,rule_1,ppe_violation,explanation_weak,False,rich info,model,False
0004196,rule_4,struck_by_risk,explanation_supported,False,poor info,model,False
0004273,rule_1,ppe_violation,explanation_weak,False,poor info,model,False
0004332,rule_1,ppe_violation,explanation_supported,False,rich info,model,False
0004380,rule_1,ppe_violation,explanation_supported,False,rich info,model,False
0004497,rule_1,ppe_violation,explanation_supported,False,rich info,model,False
0004552,rule_3,fall_hazard,explanation_weak,False,rich info,model,False
0004680,rule_1,ppe_violation,explanation_weak,False,poor info,model,False
0004716,rule_1,ppe_violation,explanation_weak,False,rich info,model,False
0004831,rule_2,fall_hazard,explanation_supported,False,rich info,model,False
